Uncertainty Level,Avg Error Naive,SD Error Naive,Avg Error Sobo,SD Error Sobo,Avg Error SK,SD Error SK,Avg Error Luka,SD Error Luka,Avg Error Bochvar,SD Error Bochvar,Avg Error Sette,SD Error Sette,Avg Error Gaines,SD Error Gaines
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.8759217321140405,2.1827505126454545,5.3111642011834315,2.0928091074184447,105.85312036040882,110.50709383054689,14.068489510489512,8.194492782195763,8.279311054330284,2.2215476561488194,8.176953873050028,2.177307420046233,6.918914604626144,2.108036659305897
10,14.555574502420654,4.661673390265354,11.155696073157612,4.456042067688175,154.14836350188273,131.84933618395942,24.763134615384615,12.131413629300942,17.432777568585262,4.687517292757879,18.842415814954276,5.318912035190453,15.413487089833245,4.983787899236809
15,22.073821678321675,7.075374759724231,17.447920118343195,6.748661216072409,184.96725632060247,144.64885361241525,34.90021637977407,15.909057463386958,25.509350457235076,6.796983400515682,30.157605433028507,8.96930429203915,24.430504034427113,8.20272160131769
20,29.51600107584723,9.493968526364569,24.785180473372783,9.192763605623842,202.9119596557289,152.77212496897084,43.942976196880046,18.970041869011265,33.19289429800968,9.09597276075443,41.2829384077461,12.747881921353464,33.846317643894565,11.634399442966362
25,36.9152533620226,11.969152740293042,31.864458579881656,11.41988679657831,215.4914089564282,158.41470802848067,52.76028362022592,21.7993617724428,40.397862829478214,11.340865290067526,52.21833162990855,16.600393247133606,43.376623991393224,15.222528040338252
30,44.271005110274345,14.410974397157807,39.209068450779995,13.922341567031582,224.5054066702528,162.21644816152002,60.944950511027436,24.316765802165698,47.65365720817643,13.780804769451292,62.14692697686929,20.15757955706424,52.49324435180205,18.628022794732967
31,45.61277434104357,14.833180789096392,40.42708055406133,14.161916142638137,226.05564698762777,162.77256481609993,62.50036484669177,24.7716694158499,48.9204345077999,14.12995248201652,64.0255689887036,20.753023205813037,54.202463017751484,19.224324585397014
