Uncertainty Level,Avg Error Naive,SD Error Naive,Avg Error SK,SD Error SK,Avg Error Sobo,SD Error Sobo,Avg Error Luka,SD Error Luka,Avg Error Bochvar,SD Error Bochvar,Avg Error Sette,SD Error Sette,Avg Error Gaines,SD Error Gaines
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.479781910397295,2.387989551568474,481.54232480980556,40.910504455759735,11.901101014370244,6.260994834140906,179.21848034657648,89.7315209566555,5.42938292476754,2.0840122313472613,11.341781487743026,6.378548432055004,11.341498309382924,6.37910604325096
10,13.470035080304312,5.078778521948974,493.13098182586646,24.109368696254887,27.911144970414203,15.438707021915466,186.98072569737957,94.20763940464877,10.946894759087067,5.3260710012322035,26.063909974640744,15.866403384949278,26.360422654268806,15.758649346584148
15,20.439009721048183,7.749643289367361,496.32802874049025,17.54375288238492,42.441382924767545,23.892085844761695,196.66068829247675,100.0258653888253,16.943714285714282,7.74580306703237,39.47404649196957,24.61331377473368,40.02031360946745,24.408377607554094
20,27.483968300929842,10.497540012687097,496.6489330092984,13.557288336850878,54.484364327979705,30.923178006308913,208.39749049027895,105.48498890719564,23.57704691462384,9.204450519570077,50.73609298393914,31.915730344899767,51.42594716821639,31.64600159072095
25,34.45668512256974,13.18413104002083,495.7935116229924,10.386898546848835,64.35999661876586,36.74454815563232,220.0838698224852,109.42183990878111,30.076082840236687,10.739133185459378,60.091382924767544,37.97067079587176,60.87795435333897,37.6514102683665
30,41.31386010143702,15.878341029634898,494.66506213017755,8.33932178949916,72.81349873203719,41.76037301428004,231.57493829247676,112.27188222154832,36.337900676246825,12.535017191456491,68.1376314454776,43.1884063728668,69.00495646661031,42.82600082888821
31,42.59664074387151,16.352494072030243,494.41588060016903,8.059632709604772,74.51543575655114,42.780634200220774,233.8226920963652,112.88799489132023,37.46746407438715,12.87089560148154,69.73176204564666,44.26019661864118,70.62368765849536,43.88461495475509
