Uncertainty Level,Avg Error Naive,SD Error Naive,Avg Error SK,SD Error SK,Avg Error Sobo,SD Error Sobo,Avg Error Luka,SD Error Luka,Avg Error Bochvar,SD Error Bochvar,Avg Error Sette,SD Error Sette,Avg Error Gaines,SD Error Gaines
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.129732459847844,2.308921420163283,59.66485418427725,39.51579084343384,6.100408918005071,2.383579930977664,9.85406530008453,3.026838212871126,9.478517117497887,1.8692285305665304,9.35899471682164,1.7764520660423893,8.089775993237533,2.119847267488619
10,17.154252747252748,4.923024774502128,77.43877071005917,43.2154786429893,12.808423499577346,5.080285586771015,20.95356561707523,6.602494183902563,19.860374471682164,4.037904630010413,21.505371090448012,4.28871217831779,18.053110946745562,5.010944507178964
15,26.004878275570583,7.489176233906195,92.80643353761623,53.65150877264804,20.215362637362638,7.727459500045,31.912349429416736,10.162739371198734,29.14069928148775,6.0479674263067595,34.55409129332207,7.323161448656836,28.792914201183432,8.304036998481736
20,34.90455325443787,10.143008861110317,104.46736200338123,60.0178458166978,28.49943131868132,10.264925015271169,42.689043005071845,13.745603479219083,37.83948457311919,8.423762864685933,47.93525591715976,10.75493858712801,40.22994420963652,11.929646786531793
25,43.76023161453931,12.828525101738844,113.79365448013523,63.27815991722339,37.26340574809806,12.851218849362976,53.06986770921387,17.224239455116667,46.60796914623838,11.117138255302207,60.525362214708366,14.282965171829511,51.567379120879124,15.583285041754117
30,52.3946259509721,15.490759836838416,121.7232348901099,64.85808350040227,45.87890004226542,15.490376914941095,62.83194452662722,20.53799123940896,55.116178360101436,13.84690846307683,72.21514475908708,17.876126902584662,62.462021555367706,19.268857486500863
31,54.08669209636518,15.907457491305161,123.2458517540152,65.23755835130046,47.55308157227388,16.158747297824455,64.73060946745562,21.04199746352537,56.74331551141167,14.379545436915896,74.58169146238377,18.3880543322098,64.67390405748098,19.88330975911128
