Uncertainty Level,Avg Error Naive,SD Error Naive,Avg Error Sobo,SD Error Sobo,Avg Error Bochvar,SD Error Bochvar,Avg Error Gaines,SD Error Gaines,Avg Error Luka,SD Error Luka,Avg Error Sette,SD Error Sette,Avg Error SK,SD Error SK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.738944055944056,2.5716697377803874,2.5985149273803123,0.9882396851739642,8.497942576654115,2.2580621787152415,5.966182490586338,2.0169904593792167,11.702011027434104,6.063301231688421,7.71248803119957,2.159389431749298,84.14212816030124,101.94670203204942
10,14.31135449166218,5.496470298029507,5.607859601936525,2.185399374831288,17.983856643356642,4.740531538826168,14.22188515330823,5.351080461796746,23.774274206562666,11.669836658736488,18.848105970952126,5.764683168885527,143.3065036309844,128.81551561704535
15,21.919533889187733,8.42298225220373,9.938439752555137,3.64981155986589,26.122949704142012,6.6942234416927455,23.82284346422808,9.334836801048926,36.15601438945669,17.098590727487913,31.333446207638517,10.049043731562403,182.94395454545457,143.18587354513997
20,29.276971759010223,11.29208613229287,15.999077461000537,5.555390507179705,33.53352877891339,8.685638395772894,34.77806777837547,13.777335302712583,47.73413838084993,21.74503785165597,44.68564873587951,14.781402311227287,207.96316460462614,153.83690532031838
25,36.88902716514256,14.265909523896262,22.874289940828398,7.884540730286622,40.892846422807956,10.981776136265696,46.0227861753631,18.303134550172405,58.440417294244206,25.456188231647435,57.736493275954814,19.466908680945796,225.2829546799355,161.50575714972456
30,44.44720333512641,17.250193039912045,29.927594809037114,10.411898788644912,48.12749341043572,13.481111653618097,56.70163138784292,22.630580454623292,68.19509924690695,28.75268458212654,69.64049583109198,23.840714789216545,238.3312646584185,167.266246571965
31,45.77765734265734,17.76798621082507,31.225627622377626,10.83487629755308,49.4792139591178,13.921181473505053,58.7368115922539,23.425989524200332,70.03529868208715,29.34623442851086,71.87808162990855,24.62043876608532,240.41767764927383,168.07399397529795
