Uncertainty Level,Avg Error Naive,SD Error Naive,Avg Error SK,SD Error SK,Avg Error Sobo,SD Error Sobo,Avg Error Luka,SD Error Luka,Avg Error Bochvar,SD Error Bochvar,Avg Error Sette,SD Error Sette,Avg Error Gaines,SD Error Gaines
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.269228655959425,2.859198435877523,52.79531086221471,37.204544390579684,2.910207734573119,1.2214403367114135,10.732107776838546,3.8205373170018193,9.662612214708368,1.5798027958328735,8.877877641589182,1.72933662063093,7.100344463229079,2.1162102481761305
10,17.487185122569738,6.081282178231582,70.62682586644125,37.72325374205463,6.306004437869822,2.70233589922622,23.310296808960274,8.355446763587253,20.391022189349112,3.3580314158773397,21.837482037193574,4.734584761955037,17.147690617075234,5.681423107216018
15,26.667978655959427,9.28593931115033,89.49413979289942,54.63487057073611,11.246081783601014,4.5427196124442455,35.86716599746407,12.898880055193091,29.380310228233306,4.690561387486677,36.63807628909552,8.406879965587738,28.94062869822485,9.919054631278597
20,36.04138440405748,12.573229939497175,104.90095350803043,64.4437430455803,18.568132079459005,6.9069747219342945,48.5261366229924,17.49717576161661,38.028755917159764,6.730776924882809,52.694749577345725,12.566092899194466,42.53737362637362,14.585354372179939
25,45.27561834319526,15.820869116483317,117.48105980557904,69.65150456163627,26.949298605240916,9.719486804704765,60.485381656804726,21.810738593365123,46.830399619611164,9.41368014493205,67.9394110312764,16.65527194340686,56.04145033812342,19.147966574407732
30,54.34390426880812,19.074778541350696,128.22828074809806,72.63852312996845,35.45839877430262,12.546101146744906,71.6307577134404,25.8493780762265,55.49863017751479,12.25756302311386,82.097132079459,20.6273104960681,69.02532544378698,23.555217687692142
31,56.075606931530004,19.650897834947802,130.30042740912933,73.33693056075049,36.987023879966195,13.119434610268842,73.76155515638207,26.593963109818315,57.07005198647506,12.759740227063405,85.02931255283178,21.365716040439118,71.69398964497042,24.41706347868406
